processed_tokens,class_label
"['kafa', 'takilan', 'bir', 'konu', 'gsm', 'operatorlerinin', 'mobil', 'site', 'destegi', 've', 'uygulamalarinin', 'olmamasi', 'turkcell', 'istisna', 'tabi']",Positive
"['hayat', 'paylaş', 'güzel']",Positive
"['dogum', 'gun', 'pastasi', 'icin', 'tesekkurler', 'simartiyosun', 'ben']",Positive
"['kami̇l', 'koç', 'özel', 'turkcell', 'kampanyasi']",Positive
"['sabah', 'sabah', 'kendi', 'koridordaturkcell', 'ben', 'ses', 'tanir', 'diye', 'bagirken', 'buldumbir', 'internet', 'paket', 'icin', 'insan', 'ne', 'yapiyo']",Positive
"['hayat', 'paylaşinca', 'güzel']",Positive
"['sabah', '730', 'itibaren', 'tekrar', 'turkcellm', 'bilginizee']",Positive
"['turkcell', 'e', 'gel']",Positive
"['nihayet', 'ev', 'fiber', 'internet', 'gel', 'superonline', 'karamehmet', 'yıl', 'önce', 'döşe', 'fiber', 'ağı', 'engelle', 'yüz', 'an', 'devre', 'sok']",Positive
"['bu', 'turkcell', 'ile', 'ara', 'her', 'ne', 'kadar', 'iyi', 'ol', 'da', 'böyle', 'hediye', 'verdikce', 'göz', 'gir', 'd']",Positive
"['hayat', 'paylaş', 'güzel']",Positive
"['bir', 'kez', 'daha', 'cüzdan', 'ev', 'unut', 'ama', 'turkcell', 'mobil', 'imza', 'saye', 'garanti', 'para', 'çek', 'gun', 'sorun', 'götür']",Positive
['zeki'],Positive
"['1', 'yeni', 'film', 'vizyone', 'gir', 'gnctrkcll', 'şifre', 'ara', '3', 'milyon', 'kişi', 'var', 'ahaha']",Positive
"['hayat', 'paylaş', 'güzel']",Positive
"['fatura', 'hat', 'daha', 'esnek', 'avantaj', 'ol', 'dile', 'başarı', 'devam', 'dile', 'hoşçakalın']",Positive
"['internet', 've', 'telefon', 'superonline', 'a', 'transfer', 'oldum20', 'mgpt', 'sınırsız', 'internet', '44', 'tl', 'telefon', 'vergi', 'dahil', '75', 'kr', 'sabit', 'ücret', 'yok']",Positive
"['şener', 'şen', 'ceza', 'olgun', 'şi̇mşek', 'binnur', 'kaya', 'sen', 'söyle', 'bu', 'firma', 'reklam', 'çık', 'yaşasin']",Positive
"['biz', 'bil', 'o', 'çile', 'zaman', 'çek', 'yarın', 'gel', 'size', 'superonline', 'al']",Positive
"['i', 'phone', 'turkcell', 'müzik', 'application', 'mutlaka', 'dene']",Positive
"['15', 'saat', 'ise', 'süper', 'normal', 'atatürkden', 'git', 'ama', 'turkcell', 'sunexpress', 'kampanya', 'yarar', 'ucuz', 'gel', 'ba']",Positive
"['toplu', 'tasima', 'aracinda', 'turkcell', 'bemi', 'ses', 'tanı', 'cilginliginida', 'yapti', 'ya', 'pes']",Positive
"['sahan', 'in', 'oyna', 'son', 'turkcell', 'reklam', 'cok', 'gül', 'bsbdbdhdfnbzhgczzvzvzjddhdjdjzg']",Positive
"['her', 'yön', 'sms', '12', 'tl', 'bak', 'turkcell', 'd']",Positive
"['i̇phoneun', 'yeni', 'mode', 'i̇phone', '4s', 'turkcell', 'tarafından', 'sat', 'sun']",Positive
"['hayat', 'paylaş', 'güzel']",Positive
"['divan', 'dogum', 'gun', 'pastasi', 'gondermek', 'val', 'sasirdim', 'tesekkurler', 'turkcell']",Positive
"['bir', 'adam', 'var', 'can', 'sıkıl', 'bir', 'film', 'izle', 'can', 'sıkıntı', 'git', 'eski', 'bir', 'turkcell', 'reklam', 'hey', 'gidi', 'gün']",Positive
"['turkcell', 'superonline', '1', 'milyon', 'hane', 'fiber', 'i̇nterneti', 'taşı', 'sabit', 'numara', 'taşı', 'lider', 'ol']",Positive
"['2012', 'ki', 'sevgili', 'bul', 'turkcell', 'galp', 'wikipedia', 'galp', 'google', 'finallergeliyorhaci']",Positive
"['2', 'gun', 'ne', 'tv', 'yayın', 'var', 'ne', 'de', 'internet', 'turkcell', 'mobil', 'internet', 'ol', 'ne', 'yap', 'acaba']",Positive
"['avea', 'dan', 'ben', 'bu', 'ay', '250', 'veya', '300', 'tl', 'fatura', 'gelcek', 'turkcell', 'geri', 'dön', 'düşün']",Positive
"['superonline', 'mesela', 'evet', 'o', 'da', 'soru', 'ol', 'ama', 'ttnet', 'kadar', 'insan', 'bay']",Positive
"['ah', 'turkcellm', 'hemen', 'duy', 'sesimiii']",Positive
"['bugün', 'ben', 'yap', 'hak', 'sen', 'hiç', 'unutturmayacağımhani', '150', 'her', 'yön', 'kampanyasıartık', 'yaşasın', 'turkcellseni', 'terkediyom', 'avea']",Positive
"['turkcell', 'var', 'üz']",Positive
"['superonline', 'tabiki']",Positive
"['perşembe', 'de', 'biz', 'ol', 'malum', 'gnctrkcll', 'cuma', 'sabah', 'hallet']",Positive
"['yeniyildanistegim', 'paylaş', 'bil', 'bir', 'dünya', 'çünkü', 'hayat', 'paylaş', 'güzel']",Positive
"['turkcellfestival', 'turkcell', 'canlı', 'konser', 'için', 'model', 'seçim', 'çok', 'başarı', 'ol', 'şarkı', 'söz', 'de', 'sound', 'da', 'çok', 'iyi', 'aynen', 'devam', 'model']",Positive
"['sadece', 'aradiigimda', 'musteri', 'hizmet', 'ulasabildigim', 'icin', 'turkcell', 'kullanirim', 'avea', 've', 'vodafone', 'bosuna', 'kampanya', 'vs', 'yapmayin']",Positive
"['d', 'turkcell', 'ile', 'saygı', 'çerçeve', 've', 'çok', 'düzeyli', 'bir', 'dostluk', 'var', 'ben', 'yap', 'öyle', 'bişey', 'd']",Positive
"['hayat', 'paylaş', 'güzel', 'türk']",Positive
"['fena', 'degil']",Positive
"['canli', 'performansiyla', '30', 'aralik', 'cuma', 'gun', 'saat', '1500da', 'turkcell', 'muzikte']",Positive
"['bu', 'ara', 'siz', 'sevgili', 'panpişlerime', 'duyurmayi', 'unut', 'vodafone', 'un', 'ayricaliklarla', 'dolu', 'dunyasindan', 'turkcell', 'in', 'indirim', 'dolu', 'dunyasina']",Positive
"['idate', 'rapor', 'turkcell', 'superonline', '2011', 'sun', 'başla', '1000mbs', 'hız', 'fiber', 'internet', 'avrupa', 'sayılı', 'operatör', 'ara', 'gir']",Positive
"['ne', 'uyuz', 'ol', 'reklam', 'hayran', 'ol', 'cocacola', 'zaman', 'turkcell', 'reklam', 'harika']",Positive
"['kalp', 'kalp', 'karşı', 'şimdi', 'superonlineı', 'ara', 'hizmet', 've', 'fiyat', 'en', 'iyi', 'ora']",Positive
"['sağlık', 'ol', 'büyü', 'ben', 'turkcell', 'note', 'kullan']",Positive
"['tabiiki', 'turkcell', 'yurtdisi', 'paket', 'aldi']",Positive
"['hayatpaylasincaguzel', 'turkcell', 'yine', 'başarı', 'bir', 'iş', 'yapıyo', 'yaz', 'sapphire', 'çarşı', 'ön', 'ekran', 'çık']",Positive
"['1', 'sn', 'de', 'nobetci', 'eczane', 'bul', '1', 'km', 'yakın', 'eczane', '1', 'saat', 'ara', 'gerek', 'bırak', 'turkcell', 'pusula', 'uygula', 'sev', 'sen']",Positive
"['o', 'zaman', 'ne', 'hayat', 'paylaş', 'güzel', 'lallalalllala', 'paylaş', 'çoğal', 'güzel', 'lalalallalalala']",Positive
"['superonline', 'geç', 'alt', 'yapı', 'var', 'siz', 'ora', 'ben', 'fiber', 'internet', 'al', 'internet', 'ne', 'görüceksin']",Positive
"['nihayet', 'temiz', 've', 'ak', 'bir', 'canlı', 'yayın', 'izle', 'tebrik']",Positive
"['turkcellmuzik', 'yaşasın', 'manga', 'yaşasın', 'turkcell', 'µ']",Positive
"['o', 'değil', 'de', 'yeniden', 'para', 'yükle', 'genç', 'avantaj', 'mı', 'geç', 'ama', 'turkcell', 'kalite', 'ama', 'internet', 'of', 'aman', 'ya']",Positive
"['444', 'numara', 'ara', 'en', 'ucuz', 'yol', 'thy', 'ile', '215', 'dakika', 'konuş', 'sadece', '40', 'kuruş', 'tut']",Positive
"['iphone', '4s', 'turkcell', 'türkiye']",Positive
"['birazyiyecek', 'biraz', 'değil', 'tam', 'hazırla', 'temiz', 'kap', 'yen', 'şekil', 'su', 'da', 'hazırlayınölmezsiniz', 'korkmayınhayat', 'paylaş', 'güzel']",Positive
"['ya', 'geç', 'taksit', 'bir', 'iphone', '4s', 'al', 'de', 'ilk', '12', 'taksit', 'tek', 'çekim', 'peşin', 'iste', '1400tl', 'peşin', 'ver', 'turkcell', 'kal']",Positive
"['i̇ki', 'bira', 'ver', 'hal', 'ne', 'güzel', 'sarhoş', 'gibi', 'değil', 'ama', 'bi', 'adam', 'sen', 'de', 'bi', 'boşver', 'bi', 'hayat', 'paylaş', 'güzel', 'evet']",Positive
"['turkcell', 'premium', 'musterisi', 'ol', 'ragmen', 'cihaz', 'tem', 'icin', 'gostermis', 'oldugunuz', 'ozel', 'ilgi', 'dolayi', 'cok', 'tesekkur', 'et']",Positive
"['pazarlamakonferansi', 'turkcell', 'akademi', 'cok', 'tesekkurler']",Positive
"['oha', 'amk', 'turkcell', 'ben', '2', 'gündürr', 'bedava', 'konusma', 'hak', 'gonderiyo', 'yaklaşık', '3', 'saatlk', 'bedava']",Positive
"['sahan', 'gokbakarin', 'oynadigi', 'yeni', 'turkcell', 'reklami', 'ba', 'iyi', 'very', 'sweet', 'you', 'very', 'beautiful']",Positive
"['re', 'türkcell', 'vınn', 'çek', 'hacı']",Positive
"['sabah', 'vapur', 'ücret', 'dağıt', 'gazete', 'okuyan', '1', 'milyon', 'kişi', 'ulaş', 'hayat', 'oku', 'paylaş', 'güzel']",Positive
"['ptesi', 'gel', 'de', 'bi', 'gnctrkcll', 'yap', 'o', 'zaman']",Positive
"['divane', 'aşık', 'gibi', 'türkcell', 'blog', 'ödül', 'final']",Positive
"['hayat', 'paylaş', 'güzel']",Positive
"['doğum', 'gün', 'için', 'hediye', 'turkcell', 'divan', 'pastadominostan', 'pizza', 'indirimbeni', 'özel', 'hisset', 'başka', 'ol', 'sanki']",Positive
"['turkcell', 'can', 'faturali', 'canan']",Positive
"['sahanin', 'turkcell', 'reklamlari', 'gercek', 'cok', 'komik']",Positive
"['superonline', 'cok', 'iyi', 'hele', 'ttnetten', 'sonra', 'ba', 'iyi', '3', 'aydir', 'sorun', 'kullaniorm', 'hic', 'skntı', 'cikarmadi']",Positive
"['yarın', 'geçn', 'türkcell', 'kullan', 'de', 'gari']",Positive
"['i̇peğimin', 'turkcell', 'geç', 'en', 'çok', 'ben', 'sevin', 'kesinlikleaykutdan', 'daha', 'çok', 'hatta', 'd']",Positive
"['turkcell', 'dört', 'çek', 'ben', 'ebru', 'çok', 'şeker', 'ben', 'bu', 'foto', 'biterimm']",Positive
"['o', 'icin', 'gecicem', 'tekrar', 'turkcell', 'az', 'kaldi', 'd']",Positive
"['bu', 'nasıl', 'bi', 'şarkı', 'ya', 'artık', 'favori', 'şarkı', 'turkcell', 'başvur', 'bu', 'şarkı', 'çal', 'dinle', 'yapıcam']",Positive
"['turkcell', 'bağ', 'hayat', 'turkcell', 'zengin', 'ol', 'da', 'kim', 'ol', 'be']",Positive
"['ole', 'bi', 'insan', 'olacaksin', 'ki', 'tcell', 'gbi', 'kalite', 'vodafone', 'gbi', 'her', 'yer', 'cekmeyen', 'avea', 'gbi', 'her', 'gun', 'yeni', 'musteri', 'kazan', 'gnaydin']",Positive
"['soz', 'verdigi', 'gibi', 'aradi', 'gorustuk', 'tesekkurler', 'umarim', 'en', 'kisa', 'zaman', 'cozume', 'kavusur', 'sorun']",Positive
"['hım', 'val', 'yeni', 'de', 'cuma', 'gün', 'turkcell', 'müzik', 'saat', '1500', 'te', 'canlı', 'performans', 'var', 'başka', 'bişi', 'bil']",Positive
"['özetle', 'bu', 'akşam', 'rezil', 'et', 'vodafone', 'dan', 'artık', 'nefret', 'et', 'turkcell', 'de', 'kazık', 'mazık', 'ama', 'hakkaten', 'kalite', 'donmek', 'gerek']",Positive
"['turkcell', 'tim', 'hizli', 'sarj', 'unitesii', 'var', 'ora', 'git', 'o', 'dert', 'ettigin', 'se', 'bak']",Positive
"['bil', 'acayip', 'turkcell', 'numarasışu', 'kontorsuz', 've', 'dar', 'zaman', 'mesaj', 'ben', 'destek', 'ol', 've', 'yalnız', 'bırak', 'için', 'teşkürler']",Positive
"['hayat', 'paylaş', 'güzel', 'turkcell']",Positive
"['dıtdıtdırıtdıtt', 'd', 'of', 'turkcell', 'reklam', 'akıl', 'gel', 'd']",Positive
"['hayat', 'paylaş', 'güzel', 'tabi']",Positive
"['turkcellmüzik', 'biraz', 'daha', 'geliş', 'fizy', 'yi', 'tamamen', 'bırakıcam', 'söz']",Positive
"['o', 'zaman', 'bi', 'daha', 'sen', 'de', 'öyle', 'davran', 'sen', 'at', 'o', 'da', 'iyi', 'hem', 'turkcell', 'ney', 'yetmiyo']",Positive
"['yarın', 'gnctrkcll', 'yokuykum', 'çok', 'pahalı', 'geliyo', 'zaman']",Positive
"['istanbul', 'bolu', 'kadar', 'hiç', 'kop', 'internet', 'keyif', 'ben', 'yaşa', 'turkcell', '3gye', 'son', 'teşekkür', 'hizmet', 'bu']",Positive
"['yavru', 'al', 'mesaj', 'da', 'turkcell', 'değil', 'mi', 'ki', 'sen', 'gitmiyo']",Positive
"['oh', 'bee', 'sonunda', 'telefon', 'hatti', 'acil', 'tesekkurler', 'turkcell', 'yilbasi', 'us', 'telefon', 'kalinmazdi']",Positive
